40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
01:51:29.0 (59382)|USER_INFO|[EXTERNAL]|00528000001JBjQ|ramu.veligeti@yahoo.co.in|Pacific Standard Time|GMT-07:00
01:51:29.0 (90104)|EXECUTION_STARTED
01:51:29.0 (93314)|CODE_UNIT_STARTED|[EXTERNAL]|aura
01:51:29.0 (358812)|HEAP_ALLOCATE|[72]|Bytes:3
01:51:29.0 (389320)|HEAP_ALLOCATE|[77]|Bytes:152
01:51:29.0 (403553)|HEAP_ALLOCATE|[342]|Bytes:408
01:51:29.0 (423652)|HEAP_ALLOCATE|[355]|Bytes:408
01:51:29.0 (436347)|HEAP_ALLOCATE|[467]|Bytes:48
01:51:29.0 (459734)|HEAP_ALLOCATE|[139]|Bytes:6
01:51:29.0 (473952)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
01:51:29.0 (505854)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:51:29.0 (522404)|CODE_UNIT_FINISHED|aura
01:51:29.0 (1298430)|EXECUTION_FINISHED
01:51:29.2 (2115752)|USER_INFO|[EXTERNAL]|00528000001JBjQ|ramu.veligeti@yahoo.co.in|Pacific Standard Time|GMT-07:00
01:51:29.2 (2131631)|EXECUTION_STARTED
01:51:29.2 (2133965)|CODE_UNIT_STARTED|[EXTERNAL]|aura
01:51:29.2 (2166269)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
01:51:29.2 (2175212)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
01:51:29.2 (2183624)|CODE_UNIT_FINISHED|aura
01:51:29.2 (2776191)|EXECUTION_FINISHED
01:51:29.3 (3399274)|USER_INFO|[EXTERNAL]|00528000001JBjQ|ramu.veligeti@yahoo.co.in|Pacific Standard Time|GMT-07:00
01:51:29.3 (3409928)|EXECUTION_STARTED
01:51:29.3 (3411796)|CODE_UNIT_STARTED|[EXTERNAL]|01p2800000FELrp|RecentlyViewedRecords.queryCompactLayout
01:51:29.3 (3446969)|VARIABLE_SCOPE_BEGIN|[2]|RecentlyViewedRecords.FIELDSET_NAME|String|false|true
01:51:29.3 (3457212)|VARIABLE_SCOPE_BEGIN|[3]|RecentlyViewedRecords.private_apiFieldNames|Map<String,Set<String>>|true|true
01:51:29.3 (3465109)|VARIABLE_SCOPE_BEGIN|[5]|RecentlyViewedRecords.rvi|Recently_Viewed__c|true|true
01:51:29.3 (3471828)|VARIABLE_SCOPE_BEGIN|[4]|RecentlyViewedRecords.schemaMap|Map<String,Schema.SObjectType>|true|true
01:51:29.3 (3508759)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:35
01:51:29.3 (3516240)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
01:51:29.3 (3520044)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
01:51:29.3 (3620400)|METHOD_ENTRY|[1]|01p2800000FELrp|RecentlyViewedRecords.RecentlyViewedRecords()
01:51:29.3 (3626939)|STATEMENT_EXECUTE|[1]
01:51:29.3 (3630982)|STATEMENT_EXECUTE|[1]
01:51:29.3 (3631828)|STATEMENT_EXECUTE|[2]
01:51:29.3 (3635104)|HEAP_ALLOCATE|[2]|Bytes:19
01:51:29.3 (3663051)|VARIABLE_ASSIGNMENT|[2]|RecentlyViewedRecords.FIELDSET_NAME|"RecentlyViewedHover"
01:51:29.3 (3668192)|STATEMENT_EXECUTE|[3]
01:51:29.3 (3671842)|HEAP_ALLOCATE|[3]|Bytes:4
01:51:29.3 (3695730)|VARIABLE_ASSIGNMENT|[3]|RecentlyViewedRecords.private_apiFieldNames|{}|0x28bf7534
